,0
140,2.357405651821301
141,2.3574056517799407
142,2.3574056517464377
143,2.3574056517193016
144,2.357405651697322
145,2.3574056516795165
146,2.357405651665095
147,2.3574056516534143
148,2.357405651643951
149,2.3574056516362862
150,2.3574056516300788
151,2.357405651625051
152,2.3574056516209776
153,2.3574056516176785
154,2.357405651615005
155,2.357405651612843
156,2.357405651611088
157,2.357405651609667
158,2.357405651608516
159,2.3574056516075848
160,2.357405651606831
161,2.3574056516062214
162,2.357405651605724
163,2.3574056516053217
164,2.3574056516049984
165,2.3574056516047355
166,2.3574056516045228
167,2.3574056516043496
168,2.35740565160421
169,2.3574056516040955
170,2.357405651604005
171,2.3574056516039303
172,2.3574056516038713
173,2.3574056516038207
174,2.3574056516037816
175,2.3574056516037496
176,2.357405651603724
177,2.357405651603703
178,2.3574056516036856
179,2.3574056516036714
180,2.357405651603661
181,2.3574056516036523
182,2.3574056516036435
183,2.357405651603638
184,2.357405651603635
185,2.3574056516036292
186,2.3574056516036266
187,2.357405651603623
188,2.357405651603622
189,2.357405651603621
190,2.3574056516036195
191,2.3574056516036164
192,2.3574056516036173
193,2.3574056516036164
194,2.3574056516036146
195,2.357405651603615
196,2.3574056516036155
197,2.3574056516036146
198,2.3574056516036155
199,2.357405651603614
200,2.3574056516036146
201,2.3574056516036155
202,2.3574056516036133
203,2.3574056516036137
204,2.3574056516036137
205,2.3574056516036133
206,2.357405651603614
207,2.3574056516036133
208,2.357405651603612
209,2.3574056516036137
210,2.3574056516036133
211,2.3574056516036133
212,2.3574056516036124
213,2.357405651603613
214,2.357405651603613
215,2.3574056516036137
216,2.3574056516036133
217,2.3574056516036133
218,2.3574056516036133
219,2.3574056516036133
220,2.357405651603611
221,2.3574056516036124
222,2.3574056516036133
223,2.357405651603613
224,2.3574056516036146
225,2.357405651603613
226,2.3574056516036137
227,2.3574056516036124
228,2.3574056516036146
229,2.357405651603613
230,2.3574056516036124
231,2.3574056516036124
232,2.3574056516036137
233,2.357405651603613
234,2.357405651603613
235,2.3574056516036133
236,2.357405651603613
237,2.3574056516036137
238,2.357405651603613
239,2.3574056516036137
240,2.3574056516036124
241,2.3574056516036137
242,2.357405651603613
243,2.3574056516036137
